1000,13123,0
2000,13401,0
3000,14283,0
4000,14516,0
5000,14624,0
6000,14938,0
7000,15068,0
8000,15101,0
9000,15184,0
10000,15213,0
11000,15483,0
12000,15528,0
13000,15545,0
14000,15564,0
15000,15634,0
16000,15677,0
17000,15717,0
18000,15728,0
19000,15755,0
20000,15884,0
21000,16076,0
22000,16104,0
23000,16129,0
24000,16148,0
25000,16158,0
26000,16285,0
27000,16296,0
28000,16306,0
29000,16333,0
30000,16399,0
31000,16446,0
32000,16546,0
33000,16571,0
34000,16576,0
35000,16603,0
36000,16616,0
36330,16659,0
