200,9886,0
400,9944,0
600,9950,0
800,9972,0
1000,10004,0
1200,10014,0
1400,10032,0
1600,10035,0
1800,10039,0
2000,10043,0
2200,10050,0
2400,10052,0
2600,10052,0
2800,10052,0
3000,10052,0
3200,10054,0
3400,10054,0
3600,10054,0
3800,10066,0
4000,10066,0
4200,10067,0
4400,10159,0
4600,10163,0
4800,10164,0
5000,10164,0
5200,10164,0
5400,10164,0
5600,10164,0
5800,10177,0
6000,10177,0
6200,10180,0
6400,10180,0
6600,10180,0
6800,10211,0
7000,10211,0
7200,10211,0
7400,10221,0
7600,10224,0
7800,10224,0
8000,10224,0
8200,10224,0
8400,10225,0
8600,10225,0
8800,10225,0
9000,10225,0
9200,10227,0
9400,10227,0
9600,10228,0
9800,10228,0
10000,10230,0
10200,10231,0
10400,10234,0
10600,10234,0
10800,10234,0
11000,10234,0
11200,10234,0
11400,10234,0
11600,10234,0
11800,10234,0
12000,10238,0
12200,10238,0
12400,10238,0
12600,10238,0
12800,10241,0
13000,10241,0
13200,10241,0
13400,10241,0
13600,10241,0
