200,9824,0
400,9950,0
600,9968,0
800,9980,0
1000,10033,0
1200,10037,0
1400,10052,0
1600,10057,0
1800,10062,0
2000,10149,0
2200,10149,0
2400,10187,0
2600,10187,0
2800,10190,0
3000,10190,0
3200,10194,0
3400,10194,0
3600,10194,0
3800,10197,0
4000,10198,0
4200,10210,0
4400,10210,0
4600,10210,0
4800,10215,0
5000,10222,0
5200,10222,0
5400,10222,0
5600,10238,0
5800,10238,0
6000,10238,0
6200,10238,0
6400,10238,0
6600,10238,0
6800,10285,0
7000,10286,0
7200,10286,0
7400,10286,0
7600,10286,0
7800,10286,0
8000,10288,0
8200,10288,0
8400,10288,0
8600,10291,0
8800,10291,0
9000,10291,0
9200,10291,0
9400,10294,0
9600,10294,0
9800,10294,0
10000,10297,0
10200,10297,0
10400,10297,0
10600,10297,0
10800,10298,0
11000,10303,0
11200,10306,0
11400,10322,0
11600,10322,0
11800,10322,0
12000,10322,0
12200,10322,0
12400,10322,0
12600,10322,0
12800,10322,0
13000,10322,0
