1000,13001,0
2000,14204,0
3000,14255,0
4000,14809,0
5000,15016,0
6000,15057,0
7000,15293,0
8000,15397,0
9000,15477,0
10000,15519,0
11000,15616,0
12000,15676,0
13000,15801,0
14000,15807,0
15000,15859,0
16000,15897,0
17000,15934,0
18000,16188,0
19000,16220,0
20000,16237,0
21000,16274,0
22000,16287,0
23000,16310,0
24000,16360,0
25000,16519,0
26000,16549,0
27000,16564,0
28000,16578,0
29000,16594,0
30000,16667,0
31000,16680,0
32000,16744,0
33000,16780,0
34000,16794,0
35000,16819,0
36000,16839,0
36120,16841,0
